ID,en,ar,zh-Hans,zh-Hant,de,es,fa,fr,he,id,it,ja,ko,hu,nl,no,pl,pt-br,ru,uk,fi,vi,tr
AchievementDesc1,Gain 1 thousand dollars.,إكسب 1000 دولار.,获得一千元。,獲得1000元。,Verdiene deine ersten 1000 Dollar.,Gana mil dólares.,هزار دلار کسب کنید.,Gagnez mille dollars.,הרווח אלף דולרים.,Dapatkan 1000 dolar.,Guadagna 1000 dollari.,1000ドル獲得する。,"1,000달러를 획득하세요.",Szerezz ezer dollárt.,Verdien duizend dollar.,Få tusen dollar.,Zarób pierwszy tysiąc.,Ganhe mil dólares.,Получите 1 тысячу долларов.,Отримайте 1 тисячу доларів.,Saa tuhat dollaria.,Nhận 1 ngàn đô-la.,Bin dolar kazan.
AchievementTitle2,Scientific Notation,الترميز العلمي,科学计数法,科學記數法,Wissenschaftliche Schreibweise,Notación cientifica,نماد علمی,Notation scientifique,סימון מדעי,Notasi Ilmiah,Notazione scientifica,科学的な記法,과학적 표기법,Normálalak,Wetenschappelijke Notatie,Vitenskapelig notasjon,Notacja wykładnicza,Notação científica,Научная нотация,Наукова нотація,Tieteellinen Merkintätapa,Kí hiệu khoa học,Bilimsel Notasyon
AchievementDesc2,Gain 1 million dollars.,إكسب 1 مليون دولار.,获得一百万元。,獲得1百萬元。,Verdiene eine Millionen Dollar.,Gana 1 millón de dólares.,یک میلیون دلار کسب کنید.,Gagnez 1 million de dollars.,הרווח מיליון דולרים.,Dapatkan 1 juta dolar.,Guadagna 1 milione di dollari.,100万ドル獲得する。,100만달러를 획득하세요.,Szerezz 1 millió dollárt.,Verdien 1 miljoen dollar.,Få 1 million dollar.,Zarób pierwszy milion.,Ganhe 1 milhão de dólares.,Получите 1 миллион долларов.,Отримайте 1 мільйон доларів.,Saa miljoona dollaria.,Nhận 1 triệu đô-la.,1 milyon dolar kazan.
AchievementTitle3,First Trillion,اول تريليون.,第一兆,第一個兆元,Erste Billion,Primer billon,اولین تریلیون,Premier billion,הטריליון הראשון,Triliunan Pertama,Primo triliardo,はじめての1兆ドル,첫 10조,Ezermilliárd,Eerste Biljoen,Første milliard,Pierwszy Sasin,Primeiro Trilhão,Первый триллион,Перший трильйон,Ensimmäinen biljoona,Một ngàn tỉ đô,İlk Trilyon
AchievementDesc3,Gain 1 trillion dollars.,إكسب 1 تريليون دولار.,获得一兆元。,獲得1兆元。,Verdiene eine Billionen Dollar.,Gana 1 billón de dólares.,یک تریلیون دلار کسب کنید.,Gagnez 1 billion de dollars.,הרווח טריליון דולרים.,Dapatkan 1 triliun dolar.,Guadagna 1 triliardo di dollari.,1兆ドル獲得する。,10조달러를 획득하세요.,Szerezz 1 billió dollárt.,Verdien 1 biljoen dollar.,Få 1 billion dollar.,Zarób pierwszy miliard.,Ganhe 1 trilhão de dólares.,Получите 1 триллион долларов.,Отримайте 1 трильйон доларів.,Saa biljoona dollaria.,Nhận 1 ngàn tỉ đô-la.,1 trilyon dolar kazan.
AchievementTitle4,Strange Notation,الترميز الغريب,奇怪的记号,奇怪的符號,Seltsame Schreibweise,Notación extraña,نشانه‌گذاری عجیب,Notation étrange,סימון מוזר,Notasi yang Aneh,Una strana notazione,奇妙な記法,이상한 표기법,Fura Jelölés,Vreemde Notatie,Merkelig notasjon,Dziwna notacja ,Notação estranha,Странная нотация,Дивна нотація,Outo merkintätapa,Kí hiệu kì lạ,Tuhaf Notasyon
AchievementDesc4,Gain enough money so that the notation changes to ee.,إكسب ما يكفي من المال ليتغير الترميز إلى ee,你的钱多得只有ee记号可以记录。,獲得足以讓記數法變為ee的錢。,"Verdiene genug Geld, sodass sich die Schreibweise nach ee ändert.",Gana suficiente dinero para que la notación cambie a ee.,به‌اندازه‌ای پول کسب کنید که نماد علمی به ee تغییر کند.,Gagnez assez d'argent pour que la notation change à ee.,הרווח מספיק כסף כדי שהסימון ישתנה לee.,Dapatkan cukup uang sehingga mengubah notasi menjadi ee.,Guadagna abbastanza soldi da cambiare la notazione in ee.,表記が ee に変化するほどのお金を獲得する。,표기법이 ee로 변경될만큼 충분한 돈을 획득하세요.,"Szerezz elég pénzt, ahhoz hogy a normálalak átváltson ee formára.",Verdien zoveel geld dat de notatie veranderd naar ee.,Få nok penger slik at notasjonen endres til ee.,"Zarób wystarczająco dużo pieniędzy, by notacja zmieniła się na ee.",Ganhar dinheiro suficiente para que a notação mude para ee.,"Получите достаточно денег, чтобы нотация измениласть на 'ее'.","Отримайте достатньо грошей, щоб нотація зміниласть на 'ee'.","Saa tarpeeksi rahaa niin, että merkinnäksi tulee ee.",Nhận đủ tiền để kí hiệu thay đổi thành ee.,Notasyonun ee olmasına yetecek kadar para kazan.
AchievementTitle5,Unstoppable,جريئ,势不可挡,勢不可擋,Unaufhaltsam,Imparable,توقف‌ناپذیر,Inarrêtable,בלתי ניתן לעצירה,Tak Terhentikan,Inarrestabile,もう止められない,저지불가,Megállíthatatlan,Niet Te Stoppen,Ustoppelig,Niepowstrzymany,Imparável.,Неудержимый,Нестримний,Pysäyttämätön,Không thể ngăn cản,Durdurulamaz
AchievementDescMoney,Gain {0} dollars.,إكسب {0} دولار,获得{0}元。,獲得{0}元。,Verdiene {0} Dollar.,Gana {0} dólares.,{0} دلار کسب کنید.,Gagnez {0} dollars.,הרווח {0} דולרים.,Dapatkan {0} dolar.,Guadagna {0} dollari.,{0}ドル獲得する。,{0}달러를 획득하세요.,Szerezz {0} dollárt.,Verdien {0} dollar.,Få {0} dollar.,Zarób {0} dolarów.,Ganhe {0} dólares.,Получите {0} долларов.,Отримайте {0} доларів.,Saa {0} dollaria.,Nhận {0} đô-la.,{0} dolar kazan.
AchievementTitle6,Unbelievable,لا يصدق,难以置信,難以置信,Unglaublich,Increíble,باورنکردنی,Incroyable,בלתי יאומן,Luar Biasa,Incredibile,信じられない,믿을 수 없어요,Hihetetlen,Ongeloofelijk,Ikke til å tro,Nie do wiary,Inacreditável,Невероятно,Неймовірний,Uskomatonta,Không thể tin được,İnanılmaz
AchievementTitle7,The Sky's the Limit,السماء هي الحد,钱途无限,錢途無限,Der Himmel ist die Grenze,El cielo es el límite,كار نشد نداره,Tout est possible,השמיים הם הגבול,Langit Adalah Batasnya,Il cielo è il limite,青天井,하늘만큼 땅만큼,A Határ A Csillagos Ég,Alles Is Mogelijk,Himmelen er grensen,Żadnych ograniczeń,O Céu é o Limite,Выше неба,Неосяжний,Taivas on rajana,Bầu trời là giới hạn,Sınırımız Gökyüzü
AchievementTitle8,Teenage Years,سنوات المراهقة,少年时代,我的少年時代,Teenager-Jahre,Adolescencia,سال‌های نوجوانی,Adolescence,שנות נעורים,Masa Remaja,Gli anni dell'adolescenza,10代の頃,10대 시절엔,Tiniévek,Tienerjaren,Tenårene,Młodzieńcze lata,Adolescência,Пора юности,Роки юності,Teinivuodet,Thời niên thiếu,Gençlik yılları
AchievementTitle9,Growing Up,التقدم في العمر,长大成人,長大成人,Aufwachsen,Creciendo,سنین رشد,Grandissant,התבגרות,Tumbuh Besar,Crescendo,成長,성숙,Felnövés,Opgroeien,Vokser opp,Dorastanie,Crescendo,Взросление,Дорослішання,Kasvaminen,Trưởng thành,Büyüme
AchievementTitle10,Financial Stability,الإستقرار المالي,收入稳定,財政穩定,Finanzielle Stabilität,Estabilidad financiera,ثبات مالی,Stabilité financière,יציבות כלכלית,Stabilitas Keuangan,Stabilità finanziaria,財政の安定,재정적인 안정,Pénzügyi Stabilitás,Financiële Stabiliteit,Finansiell stabilitet,Stabilność finansowa,Estabilidade financeira,Финансовая стабильность,Фінансова стабільність,Taloudellinen vakaus,Ổn định tài chính,Finansal İstikrar
AchievementTitle11,Wealth Suits You,الثروة تليق بك,腰缠万贯,腰纏萬貫,Reichtum passt zu dir,La riqueza te sienta bien,ثروت برازنده شماست,La richesse vous va bien,עושר מתאים לך,Kekayaan Cocok Denganmu,La ricchezza ti si addice,あなたには富が似合う,돈 벌 재목,Jól Áll A Vagyon,Rijkdom Past Bij Je,Rikdom passer deg,Dobrobyt Ci pasuje,Riqueza É Pra Você,Богатство вам к лицу,Багатство личить вам,Vauraus sopii sinulle,Giàu có phù hợp với bạn,Zenginlik Sana Yakışıyor
AchievementTitle12,Pockets Are Too Small,جيوب صغيرة جدًا,钱包太小,錢包太小了,Die Taschen sind zu klein,Tus bolsillos son pequeños,تو جیب جا نمیشه.,Poches trop petites,הכיסים קטנים מדי,Kantong Terlalu Kecil,Le tasche sono troppo piccole,ポケットに入りきらない,주머니로는 모자라요,A Zseb Már Nem Elég,Zakken Zijn Te Klein,For små lommer,Kieszenie zbyt małe,Bolsos São Muito Pequenos,Карманы слишком малы,Кишені занадто малі,Taskut ovat liian pienet,Túi quần quá nhỏ,Ceplerin Çok Küçük
AchievementTitle13,The End is Near!,النهاية قريبة!,快结束了！,快結束了！,Das Ende ist nahe!,¡El final está cerca!,پایان نزدیک است!,La fin approche!,הסוף קרוב!,Akhir Sudah Dekat!,La fine è vicina!,終わりは近い！,끝이 보여요!,Közel a Vég!,Het Einde Is Nabij!,Enden er nær!,Koniec jest bliski!,O Fim Está Próximo!,Конец близок!,Кінець близько!,Loppu on lähellä!,Sự kết thúc đang đến gần!,Son Yakındır!
AchievementTitle14,To Infinity and Beyond!,إلى اللانهائية وما بعدها! ,超越极限！,超越極限！,Zur Unendlichkeit und noch viel weiter!,¡Al infinito y más allá!,به سمت بی‌نهایت و فراتر از آن!,Vers l'infini et au-delà!,אל האינסוף ומעבר לו!,Menuju Tak Terhingga dan Melampauinya!,Verso l'infinito e oltre!,無限の彼方へ！,무한대를 넘어서!,A Végtelenbe és Tovább!,Tot De Oneindigheid En Verder!,Til evigheten og forbi!,Ku nieskończoności i dalej!,Ao Infinito E Além!,Бесконечность не предел!,Нескінченність не межа!,Ääretöntä kohti ja sen yli!,Đến vô tận và hơn thế!,Sonsuzluk ve ötesine!
AchievementTitle62,"Wait, There's More!",إنتظر، هناك المزيد!,哦，还没有结束？！,等等，還沒有結束！,"Warte, da ist noch mehr!",Espera. ¡Aún hay más!,صبر کنید، بیشتر از این هم وجود داره!,"Attendez, il y a plus!","חכה, יש עוד!","Tunggu, Masih Ada Lagi!","Aspetta, c'è di più!",待って、まだある！,"잠깐만, 뭔가 더 있어요!","Várj, Még Nincs Vége!","Wacht, Er Is Meer!","Vent, det er mer!","Czekaj, to jeszcze nie wszystko!","Calma, tem mais!","Подождите, есть еще!","Зачекайте, є ще!","Hetkinen, siellä on enemmän!","Chờ đã, còn nữa!","Bekle, dahası var!"
AchievementTitle63,Halfway Through,خلال منتصف الطريق,半途不废,半途不廢,Halb geschafft,A medio camino,نصف راه رو رفتی,À mi-chemin,באמצע הדרך,Setengah Perjalanan,A metà strada,道半ば,이제 반 왔습니다,Félúton,Halverwege,Halvveis,W połowie,Metade do Caminho,На полпути,На півдорозі,Puolessävälissä,Nửa chặng đường,Yolun Yarısında
AchievementTitle64,Devil's Advocate,محامي الشيطان,老铁666,666啊！,Des Teufels Anwalt,Abogado del diablo,وکیل مدافع شیطان,L'avocat du diable,פרקליטו של השטן,Advokasi Iblis,Avvocato del diavolo,悪魔の代弁者,악마의 변호인,Az Ördög Ügyvédje,Voorstander Van De Duivel,Djevelens advokat,Adwokat Sasina,Advogado do Diabo,Адвокат дьявола,Адвокат диявола,Paholaisen asianajaja,Kẻ thờ cúng quỷ dữ,Şeytanın Avukatı
AchievementTitle65,Lucky 7,السابع المحظوظ,幸运7,7是我的幸運數字,Lucky 7,7 de la suerte,7 شانس بیار,7 chanceux,בר מזל 7,Keberuntungan 7,7 fortunato,ラッキー7,럭키 세븐,Szerencsés 7-es,Gelukkige 7,Lucky 7,Szczęśliwa 7,7 da Sorte,Счастливая семерка,Щаслива 7,Onnekas 7,Số 7 may mắn,Şanslı 7
AchievementTitle66,Call the Emergency,إتصل بالطوارئ,恐怖袭击,恐怖襲擊,Ruf den Krankenwagen,Llama a emergencias,زنگ بزن اورژانس,Appelez les urgences,שיחת חירום,Panggilan Darurat,Chiamate il 911!,緊急事態,여기 구급차!,Segélyhívó,Bel Eerstehulp,Ring nødnummeret,Wezwać pomocy,Chame a Emergência,Вызывайте спасателей,Викликайте рятувальників,Soittakaa hätäkeskukseen,Gọi cảnh sát đi,Acil Durum Çağrısı
AchievementTitle67,Stranger Things,اشياء غريبة,老千,老千,Stranger Things,Stranger Things,چیزهای عجیب غریب,Stranger Things,דברים מוזרים,Sesuatu yang Asing,Stranger Things,ストレンジャー・シングス,기묘한 이야기,Stranger Things,Stranger Things,Stranger Things,Dziwne rzeczy,Coisas Estranhas,Странные дела,Дивні справи,Stranger Things,Cậu bé mất tích,Stranger Things
AchievementTitle68,Top of the Class,الأول على الصف,全班第一,全班第一,Klassenbester,El mejor de la clase,درس خون کلاس,Premier de la classe,הכי טוב בכיתה,Tertinggi Di Kelasnya,Migliore della classe,クラスのトップ,전교 1등,Osztályelső,Beste Van De Klas,Toppelev,Najlepszy w klasie,O Melhor da Turma,Лучший ученик,Найкращий учень,Luokansa paras,Thủ khoa lớp,Sınıf Birincisi
AchievementTitle15,First Tap,اول نقرة,第一次点击,第一次點擊,Erstes Tippen,Primer toque,اولین ضربه,Premier Clic,הלחיצה הראשונה,Ketukan Pertama,Primo Tocco,最初のタップ,첫 탭,Első Érintés,Eerste Tik,Første trykk,Pierwsze kliknięcie,Primeiro Toque,Первое нажатие,Перше натискання,Ensimmäinen napautus,Lần chạm đầu tiên,İlk Tıklama
AchievementDesc15,Tap the equation once.,إضغط على المعادلة مرة واحدة.,轻触公式。,第一次輕觸方程式。,Tippen Sie einmal auf die Gleichung.,Toca la ecuación una vez.,یک بار روی معادله ضربه بزنید.,Appuyez sur l'équation une fois.,לחץ על המשוואה פעם אחת.,Ketuk pada persamaan matematika sekali.,Tocca l'equazione la prima volta,等式を1回タップする。,방정식을 한 번 탭하세요.,Koppints az egyenletre egyszer.,Tik 1 keer op de vergelijking.,Trykk på likningen èn gang.,Dotknij równanie 1 raz.,Toque na equação de uma vez.,Нажмите один раз на уравнение.,Натисніть один раз на рівняння.,Napauta yhtälöä kerran.,Nhấn vào phương trình một lần.,Denkleme bir defa tıkla.
AchievementTitle16,Learning to Tap,تعلم النقر,学习点击,學習點擊,Lernen zu tippen,Aprendiendo a tocar,یاد بگیر که ضربه بزنی,Apprendre à Cliquer,ללמוד איך ללחוץ,Belajar Untuk Mengetuk,Imparando a toccare,タップの習得,탭하는 법 배우기,Koppintás Tanulása,Leren Om Te Tikken,Lærer å trykke,Uczymy się klikać,Aprendendo a Tocar,Учимся нажимать,Вчимося натискати,Opettelet napauttelua,Học cách nhấn,Tıklamayı Öğrenme
AchievementDesc16,Tap the equation 50 times.,إضغط على المعادلة 50 مرة.,点击公式50次。,點擊方程式50次。,Tippe die Gleichung 50 mal an.,Toca la ecuación 50 veces.,پنجاه بار روی معادله ضربه بزنید.,Appuyez sur l'équation 50 fois.,לחץ על המשוואה 50 פעמים.,Ketuk pada persamaan matematika 50 kali.,Tocca l'equazione 50 volte.,等式を50回タップする。,방정식을 50번 탭하세요.,Koppints az egyenletre 50 alkalommal,Tik 50 keer op de vergelijking.,Trykk på likningen 50 ganger.,Dotknij równanie 50 razy.,Toque na equação 50 vezes.,Нажмите на уравнение 50 раз.,Натисніть на рівняння 50 разів.,Napauta yhtälöä 50 kertaa,Nhấn vào phương trình 50 lần.,Denkleme 50 defa tıkla.
AchievementTitle17,Faster Progress,تقدم اسرع,快速进展,快速進展,Schnellerer Fortschritt,Progresando más rápido,پیشرفت سریع‌تر,Progression Rapide,התקדמות מהירה יותר,Progres Menjadi Lebih Cepat,Progressi migliori,より速い進捗,더 빠른 진행,Gyorsabb Haladás,Snellere Progressie,Raskere fremgang,Szybszy postęp,Progredindo Mais Rápido,Ускоренный прогресс,Прискорений прогрес,Nopeampaa edistymistä,Tiến độ nhanh hơn,Daha Hızlı İlerleme
AchievementDesc17,Tap the equation 250 times.,إضغط على المعادلة 250 مرة.,点击公式250次。,點擊方程式250次。,Tippe die Gleichung 250 mal an.,Toca la ecuación 250 veces.,دویست و پنجاه بار روی معادله ضربه بزنید.,Appuyez sur l'équation 250 fois.,לחץ על המשוואה 250 פעמים.,Ketuk pada persamaan matematika 250 kali.,Tocca l'equazione 250 volte.,等式を250回タップする。,방정식을 250번 탭하세요.,Koppints az egyenletre 250 alkalommal,Tik 250 keer op de vergelijking.,Trykk på likningen 250 ganger.,Dotknij równanie 250 razy.,Toque na equação 250 vezes.,Нажмите на уравнение 250 раз.,Натисніть на рівняння 250 раз.,Napauta yhtälöä 250 kertaa,Nhấn vào phương trình 250 lần.,Denkleme 250 defa tıkla.
AchievementTitle18,You Will Get Tired,سوف تتعب,不累吗？,你不累嗎？,Du wirst müde werden,Te vas a cansar,به‌زودی خسته میشین,Vous allez vous fatiguer,אתה הןלך להתעייף,Entar Lelah,Ti stancherai,もう疲れたでしょう,피곤해질 겁니다,El Fogsz Fáradni,Je zult moe worden,Du kommer til å gå lei,Zmęczysz się,Você Vai Se Cansar,Ты устанешь,Ти втомишся,Tulet väsyneeksi,Bạn sẽ thấy mệt,Yorulacaksın
AchievementDesc18,Tap the equation 1000 times.,إضغط على المعادلة 1000 مرة.,点击公式1000次。,點擊方程式1000次。,Tippe die Gleichung 1000 mal an.,Toca la ecuación 1000 veces.,هزار بار روی معادله ضربه بزنید.,Appuyez sur l'équation 1000 fois.,לחץ על המשוואה 1000 פעמים.,Ketuk pada persamaan matematika 1000 kali.,Tocca l'equazione 1000 volte,等式を1000回タップする。,"방정식을 1,000번 탭하세요.",Koppints az egyenletre 1000 alkalommal.,Tik 1000 keer op de vergelijking.,Trykk på likningen 1000 ganger.,Dotknij równanie 1000 razy.,Toque na equação 1000 vezes.,Нажмите на уравнение в 1000 раз.,Натисніть на рівняння 1000 разів.,Napauta yhtälöä 1000 kertaa.,Nhấn vào phương trình 1000 lần.,Denkleme 1000 defa tıkla.
